edge_id,length_m,speed_kmh,lanes,capacity_veh_hr,freeflow_min,is_highway,betweenness,avg_degree,mid_lat,mid_lon
0,740.8747666872945,40.0,2,2000,1.1113121500309417,0,0.0,1.0,33.96188872014858,-118.37411239866468
1,321.96645499688657,40.0,2,2000,0.48294968249532993,0,0.0,1.0,33.95990559530779,-118.37531256400366
2,162.63406863221746,40.0,2,2000,0.24395110294832617,0,0.0,1.0,33.95989634877873,-118.37793385082676
3,809.4759394457071,40.0,2,2000,1.2142139091685606,0,0.0,1.0,33.956248168828,-118.37704618432842
4,193.74895823659148,40.0,2,2000,0.2906234373548872,0,0.0,1.0,33.96377113430175,-118.36961019319148
5,513.6058064448998,40.0,2,2000,0.7704087096673498,0,0.0,1.0,33.96563536670677,-118.37052469257878
6,207.18086939727874,40.0,2,2000,0.3107713040959181,0,0.0,1.0,33.96250601322806,-118.37022678813425
7,740.8747666872945,40.0,2,2000,1.1113121500309417,0,0.0,1.0,33.96188872014858,-118.37411239866468
8,115.0775265727027,40.0,2,2000,0.17261628985905403,0,0.0,1.0,33.96011064068752,-118.3730263064525
9,321.9664549968866,40.0,2,2000,0.48294968249532993,0,0.0,1.0,33.95990559530781,-118.37531256400366
10,401.2230785082827,40.0,2,2000,0.6018346177624241,0,0.0,1.0,33.961705851743034,-118.3787904397028
11,159.2808949074913,40.0,2,2000,0.23892134236123697,0,0.0,1.0,33.959893277175475,-118.37967519938775
12,162.63406863221743,40.0,2,2000,0.24395110294832617,0,0.0,1.0,33.95989634877873,-118.37793385082676
13,106.20635067103474,40.0,2,2000,0.15930952600655213,0,0.0,1.0,33.952600774769415,-118.37761951404605
14,809.4759394457072,40.0,2,2000,1.2142139091685609,0,0.0,1.0,33.956248168828,-118.37704618432842
15,460.4021333745573,40.0,2,2000,0.690603200061836,0,0.0,1.0,33.9526228544367,-118.37455515021215
16,190.25685002072217,40.0,2,2000,0.28538527503108324,0,0.0,1.0,33.951743979523904,-118.37708042842573
17,251.99320862832457,40.0,2,2000,0.3779898129424869,0,0.0,1.0,33.99035522154373,-118.40105507339177
18,116.82683067652638,40.0,2,2000,0.17524024601478957,0,0.0,1.0,33.9917526467138,-118.40213630540705
19,88.86652393452003,40.0,2,2000,0.13329978590178004,0,0.0,1.0,34.02719161274571,-118.42911052403127
20,102.39125492115316,40.0,2,2000,0.15358688238172977,0,0.0,1.0,34.0268251211105,-118.43004766277934
21,327.8703990099391,40.0,2,2000,0.4918055985149086,0,0.0,1.0,34.02799834499559,-118.42707313201792
22,88.86652393452003,40.0,2,2000,0.13329978590178004,0,0.0,1.0,34.02719161274571,-118.42911052403127
23,1076.4552825092337,40.0,2,2000,1.6146829237638505,0,0.0,1.0,34.02331606132464,-118.42544548166158
24,356.1344370372628,40.0,2,2000,0.5342016555558942,0,0.0,1.0,34.025353426939645,-118.42937364584806
25,102.39125492115315,40.0,2,2000,0.15358688238172974,0,0.0,1.0,34.0268251211105,-118.43004766277934
26,91.51425156448434,40.0,2,2000,0.1372713773467265,0,0.0,1.0,34.02644915619293,-118.43099527799679
27,470.31085929030337,40.0,2,2000,0.705466288935455,0,0.0,1.0,34.02956624722423,-118.42318631252967
28,327.8703990099391,40.0,2,2000,0.4918055985149086,0,0.0,1.0,34.02799834499559,-118.42707313201792
29,1248.0181404541406,40.0,2,2000,1.8720272106812108,0,0.0,1.0,34.03333481715288,-118.42919152681068
30,470.31085929030354,40.0,2,2000,0.7054662889354553,0,0.0,1.0,34.02956624722423,-118.42318631252967
31,373.2739203983629,40.0,2,2000,0.5599108805975445,0,0.0,1.0,34.03152669592622,-118.41928375411791
32,372.1117765520882,40.0,2,2000,0.5581676648281323,0,0.0,1.0,34.03201387018519,-118.42207147134005
33,477.13092056398824,40.0,2,2000,0.7156963808459824,0,0.0,1.0,34.030295884219946,-118.41872826061693
34,1248.0181404541406,40.0,2,2000,1.8720272106812108,0,0.0,1.0,34.03333481715288,-118.42919152681068
35,407.0930817796253,40.0,2,2000,0.6106396226694379,0,0.0,1.0,34.03234715316961,-118.41683500879866
36,373.27392039836286,40.0,2,2000,0.5599108805975443,0,0.0,1.0,34.03152669592622,-118.41928375411791
37,116.81171658757174,40.0,2,2000,0.1752175748813576,0,0.0,1.0,34.03199541573087,-118.41725977761588
38,421.2474388140101,40.0,2,2000,0.6318711582210151,0,0.0,1.0,34.03403952812007,-118.41882524427037
39,622.0745862811211,40.0,2,2000,0.9331118794216817,0,0.0,1.0,34.03188568661871,-118.42146651949616
40,344.0771794098986,40.0,2,2000,0.5161157691148479,0,0.0,1.0,34.03151059822406,-118.41506027896696
41,101.49049513684001,40.0,2,2000,0.15223574270526002,0,0.0,1.0,34.03116978139024,-118.41661692909432
42,116.81171658757174,40.0,2,2000,0.1752175748813576,0,0.0,1.0,34.03199541573087,-118.41725977761588
43,387.363719462121,40.0,2,2000,0.5810455791931814,0,0.0,1.0,34.03456025033027,-118.42165323111321
44,53.51149498853847,40.0,2,2000,0.08026724248280771,0,0.0,1.0,34.03584563002702,-118.42020367328216
45,421.2474388140101,40.0,2,2000,0.6318711582210151,0,0.0,1.0,34.03403952812007,-118.41882524427037
46,544.4111034015583,40.0,2,2000,0.8166166551023374,0,0.0,1.0,34.037119245250196,-118.28393550973804
47,342.1772890341516,40.0,2,2000,0.5132659335512275,0,0.0,1.0,34.036813850537044,-118.28501233645004
48,391.0499573043721,40.0,2,2000,0.5865749359565582,0,0.0,1.0,34.03787235639638,-118.27895921226249
49,334.5309927253647,40.0,2,2000,0.501796489088047,0,0.0,1.0,34.03729749368573,-118.2814175051849
50,416.86960848219053,40.0,2,2000,0.6253044127232857,0,0.0,1.0,34.02893473255549,-118.25544359467237
51,627.1734719764734,40.0,2,2000,0.94076020796471,0,0.0,1.0,34.02857398729778,-118.25435356448371
52,32.31582711315193,40.0,2,2000,0.0484737406697279,0,0.0,1.0,34.027781550089905,-118.25345534984477
53,165.92467567278968,40.0,2,2000,0.2488870135091845,0,0.0,1.0,34.02783090349375,-118.25288515911828
54,71.78303082585906,40.0,2,2000,0.10767454623878858,0,0.0,1.0,34.026859007151835,-118.25117924402906
55,548.8896927936835,40.0,2,2000,0.8233345391905252,0,0.0,1.0,34.038202370015526,-118.21995690025433
56,446.9733017185764,40.0,2,2000,0.6704599525778646,0,0.0,1.0,34.033971079067356,-118.22174194757002
57,404.81294428947206,40.0,2,2000,0.6072194164342081,0,0.0,1.0,34.03411186767549,-118.22117283713986
58,690.6007783584294,40.0,2,2000,1.035901167537644,0,0.0,1.0,34.053438516511065,-118.21252220976376
59,503.6467610683777,40.0,2,2000,0.7554701416025665,0,0.0,1.0,34.05337162243884,-118.21400065951566
60,80.00369507926514,40.0,2,2000,0.1200055426188977,0,0.0,1.0,34.05383535075121,-118.2091165994147
61,255.50978532858176,40.0,2,2000,0.38326467799287267,0,0.0,1.0,34.05679123095935,-118.21414426931247
62,286.5210952269881,40.0,2,2000,0.42978164284048215,0,0.0,1.0,33.926408669831986,-118.10416324475077
63,434.55763088559866,40.0,2,2000,0.651836446328398,0,0.0,1.0,33.92564703448046,-118.10402323086203
64,16.206930845739738,40.0,2,2000,0.024310396268609605,0,0.0,1.0,33.92513460000513,-118.10474220002054
65,229.5666202676535,40.0,2,2000,0.34434993040148026,0,0.0,1.0,33.92581744632073,-118.10571954176169
66,351.95753431061814,40.0,2,2000,0.5279363014659272,0,0.0,1.0,33.92217183476979,-118.10476974368814
67,202.4765608286856,40.0,2,2000,0.3037148412430284,0,0.0,1.0,33.922808738680054,-118.10452436948044
68,402.47612972300215,40.0,2,2000,0.6037141945845033,0,0.0,1.0,33.91886653447675,-118.10556921088303
69,1105.5188115377834,40.0,2,2000,1.658278217306675,0,0.0,1.0,33.91637188755109,-118.10678553870657
70,291.65573185221524,40.0,2,2000,0.43748359777832285,0,0.0,1.0,33.92058544098975,-118.10466524715692
71,961.8605195347254,40.0,2,2000,1.4427907793020882,0,0.0,1.0,33.926043077008096,-118.3367357926771
72,901.9148562105664,40.0,2,2000,1.3528722843158496,0,0.0,1.0,33.93073791666631,-118.34492307071638
73,272.4937461509717,40.0,2,2000,0.4087406192264575,0,0.0,1.0,33.92913224773242,-118.34208885612601
74,11.402160768679888,40.0,2,2000,0.01710324115301983,0,0.0,1.0,33.945442300001496,-118.35253865000008
75,796.3019282062825,40.0,2,2000,1.1944528923094238,0,0.0,1.0,33.945388657011165,-118.34823251425045
76,18.103224237434297,40.0,2,2000,0.027154836356151443,0,0.0,1.0,33.945494850042124,-118.35263639999857
77,802.0706974723955,40.0,2,2000,1.2031060462085934,0,0.0,1.0,33.949109177195005,-118.35255425932776
78,13.254447275672154,40.0,2,2000,0.01988167091350823,0,0.0,1.0,33.945452750002005,-118.34392624999991
79,395.5344763147422,40.0,2,2000,0.5933017144721133,0,0.0,1.0,33.94361001589093,-118.34392244907517
80,1605.012983394406,40.0,2,2000,2.407519475091609,0,0.0,1.0,33.94541381106981,-118.33524580498477
81,106.20635067103474,40.0,2,2000,0.15930952600655213,0,0.0,1.0,33.952600774769415,-118.37761951404605
82,111.62509457965666,40.0,2,2000,0.167437641869485,0,0.0,1.0,33.95265247051307,-118.3787808777505
83,460.4021333745573,40.0,2,2000,0.690603200061836,0,0.0,1.0,33.9526228544367,-118.37455515021215
84,182.13874049795837,40.0,2,2000,0.2732081107469375,0,0.0,1.0,33.952654769800795,-118.37108045563757
85,252.6793347164166,40.0,2,2000,0.3790190020746249,0,0.0,1.0,33.95238778341697,-118.37085296446845
86,258.0792537871765,40.0,2,2000,0.3871188806807647,0,0.0,1.0,33.94985393985838,-118.37776792423529
87,190.25685002072217,40.0,2,2000,0.28538527503108324,0,0.0,1.0,33.951743979523904,-118.37708042842573
88,52.55585870645954,40.0,2,2000,0.07883378805968931,0,0.0,1.0,33.94552505035469,-118.39301625003145
89,430.7277430792012,40.0,2,2000,0.6460916146188018,0,0.0,1.0,33.94499144181987,-118.39492236193067
90,393.45015600360597,40.0,2,2000,0.5901752340054088,0,0.0,1.0,33.94540564668144,-118.39542126050046
91,51.45721533477367,40.0,2,2000,0.07718582300216051,0,0.0,1.0,33.945125700269685,-118.39734899965718
92,104.20393859665387,40.0,2,2000,0.1563059078949808,0,0.0,1.0,33.94514648780192,-118.39764202352501
93,40.53662406693251,40.0,2,2000,0.06080493610039876,0,0.0,1.0,33.94548040021116,-118.39999644998557
94,185.96551005427438,40.0,2,2000,0.2789482650814115,0,0.0,1.0,33.94544303251877,-118.40121835097446
95,402.1704293526607,40.0,2,2000,0.603255644028991,0,0.0,1.0,33.94455305683973,-118.40133929638868
96,90.86309564959771,40.0,2,2000,0.13629464347439657,0,0.0,1.0,33.94542180105968,-118.39803764988817
97,115.5096572557461,40.0,2,2000,0.17326448588361915,0,0.0,1.0,33.94545900973573,-118.39915288308718
98,312.9756125044872,40.0,2,2000,0.4694634187567308,0,0.0,1.0,33.94519080195988,-118.4038991966404
99,48.54537623718967,40.0,2,2000,0.0728180643557845,0,0.0,1.0,33.944881794641965,-118.40576922584353
100,739.7630741741951,40.0,2,2000,1.1096446112612928,0,0.0,1.0,33.94366823530815,-118.40721677744102
101,175.14989136838147,40.0,2,2000,0.2627248370525722,0,0.0,1.0,34.0227625248663,-118.17313876807602
102,510.8038546316037,40.0,2,2000,0.7662057819474055,0,0.0,1.0,34.02123093396643,-118.17328601123043
103,54.60023867360412,40.0,2,2000,0.08190035801040618,0,0.0,1.0,34.02185784908127,-118.17365923327355
104,47.837407013045926,40.0,2,2000,0.07175611051956889,0,0.0,1.0,34.021981167838085,-118.1737017357235
105,604.7840927167015,40.0,2,2000,0.9071761390750523,0,0.0,1.0,34.01658245308451,-118.1724188392655
106,203.371488927137,40.0,2,2000,0.3050572333907055,0,0.0,1.0,34.018030095680245,-118.17352377917516
107,418.90886432082846,40.0,2,2000,0.6283632964812427,0,0.0,1.0,33.93381458055276,-118.17855478668925
108,293.387895556696,40.0,2,2000,0.44008184333504397,0,0.0,1.0,33.9336750332968,-118.17767970267663
109,566.6429878353013,40.0,2,2000,0.8499644817529518,0,0.0,1.0,33.936341558959725,-118.18095327964521
110,311.2249119864034,40.0,2,2000,0.46683736797960507,0,0.0,1.0,33.93241915243756,-118.18065715686194
111,171.8348080082005,40.0,2,2000,0.25775221201230075,0,0.0,1.0,33.933874603134846,-118.18144489947777
112,170.78424784578422,40.0,2,2000,0.2561763717686763,0,0.0,1.0,33.931828440039496,-118.17882518252112
113,579.402794934373,40.0,2,2000,0.8691041924015594,0,0.0,1.0,33.92996585136301,-118.17879249042495
114,203.57967947882682,40.0,2,2000,0.30536951921824024,0,0.0,1.0,33.870423210299066,-118.19475242096627
115,457.3416229979781,40.0,2,2000,0.6860124344969671,0,0.0,1.0,33.867727612618175,-118.19627129151468
116,232.01565784737124,40.0,2,2000,0.3480234867710568,0,0.0,1.0,33.98190521822243,-118.2891675939245
